player,v8,Dean Davids,0,2025111417168338
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,0.9,2025-11-14 07:20:40,Bahrain International Circuit,Toyota GR010,Practice,112.993,33.966,51.070,27.957
TrackID [int],Tracklen [m],EventID [int],EventID2 [int],Weather [txt],TeamID [int],Tyre [txt],Valid [b],Pitlap [b],Online [b],Lap [int],LapsInRace [int],Fuel at Start [kg],MaxGears [int],MaxRevs [rpm],IdleRevs [rpm},TrackTemp [C],AmbientTemp [C],Windspeed [m/s],WindDirection [ ]
3,5386.80322265625,1,121,Clear,6,Hard,true,false,true,18,101,40.29890060424805,7,8400.0,1680.0,41.80306839487895,24.023998044965822,0.0,0.0
FWing,RWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSusp,RearSusp,FrontAntiRoll,RearAntiRoll,FrontSuspH,RearSuspH,BrakePressure,BrakeBias,FLTyrePressure,FRTyrePressure,RLTyrePressure,RRTyrePressure,Ballast,FuelLoad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,
LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [l],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
0.71162486,91576.37,0.025,0.0,0.0,256.24097,7267.8843,100.0,0.0,0.070297286,0.0,6.0,0.0,0.0,453702.47,109.15345,6.0,0.0,0.0,40.29847,0.0,0.0,-269.26694,7.3010707,-218.97234,-0.065050595,0.33986145,0.09232949,256.24442,256.20773,256.26453,256.22073,611.18744,611.5043,474.78928,475.18405,70.77769,68.89456,75.56683,66.93772,14.352089,13.102663,15.834749,11.877364,0.018040435,0.01744402,0.009373721,0.008826958,-16.430418,-8.825153,-1.0648938,25.7088,-1643.0419,-882.5154,-106.48938,2570.8801,0.0,0.0,0.0,2.0,0.0,3.0947623,0.026139418,-0.0019856335,83.96975,80.78574,89.5636,79.25435,23.953411,23.633158,24.204666,23.319736,0.0013471902,-0.0129716005,0.009188612,-0.007898165,906.8829,0.0,80.164185,80.056816,73.65233,80.67072,77.345924,67.97281,84.65858,88.24643,80.04875,77.5778,78.04689,67.75742,-3.2928467,0.025224686,71.08765,0.0016167166,0.004000311,-0.02732839,547.89325,358.98962,0.03451192,0.04020335,7491.673,6734.2354,5659.115,5170.755,4.1050614E8,0.0,0.0,48.55
1.4235482,91577.08,0.035,0.0,0.0,256.3438,7283.1206,100.0,0.0,0.067223184,0.0,6.0,0.0,0.0,453122.12,109.1538,6.0,0.0,0.0,40.298035,0.0,0.0,-268.5558,7.301382,-218.93936,-0.020177966,0.3385134,-0.044616282,256.34113,256.35608,256.3617,256.33282,610.93,611.2467,474.63446,475.02908,70.77948,68.88039,75.60409,66.974976,14.352089,13.102663,15.834749,11.877364,0.01811684,0.017420739,0.009184503,0.008514667,-7.640467,2.3280866,18.921732,31.229023,-764.04675,232.80867,1892.1733,3122.9023,0.0,0.0,0.0,2.0,0.0,3.094729,0.026355691,-0.0020059254,83.971085,80.78743,89.56368,79.25521,23.941235,23.64612,24.194384,23.298557,-0.0010495657,0.004792892,0.0069768755,-0.004283792,906.2171,0.0,80.16353,80.056305,73.65213,80.67033,77.34545,67.97217,84.65773,88.245255,80.04778,77.57647,78.045456,67.75632,-3.2974243,0.031137466,71.11511,-0.005706897,0.0013702984,-0.020184776,547.1218,359.09525,0.035388857,0.040555228,7290.025,7120.788,5418.0425,4690.3555,4.1050614E8,0.0,0.0,48.55
2.1357715,91577.79,0.045,0.0,0.0,256.45703,7286.28,100.0,0.0,0.06514663,0.0,6.0,0.0,0.0,452541.75,109.15415,6.0,0.0,0.0,40.297604,0.0,0.0,-267.8443,7.301656,-218.90633,-0.034038603,0.28883103,-0.056463968,256.46356,256.45807,256.44394,256.47363,610.67255,610.98914,474.47968,474.87415,70.67849,68.94027,75.64697,67.04439,14.352089,13.102663,15.834749,11.877364,0.018187229,0.017392416,0.009025635,0.008248447,-7.0388517,2.8324203,15.886811,26.622007,-703.8852,283.24203,1588.6812,2662.2007,0.0,0.0,0.0,2.0,0.0,3.0947237,0.026517453,-0.0021134557,83.97311,80.78775,89.564804,79.255226,23.924612,23.617592,24.197565,23.3025,0.0025560495,4.0751943E-4,-0.0050965254,0.0064794333,905.97296,0.0,80.16273,80.05569,73.65189,80.66988,77.34495,67.97149,84.65669,88.24386,80.04663,77.575096,78.04394,67.75512,-3.3035278,0.027370453,71.14868,-0.014001013,-2.2721468E-4,-0.0072512375,547.03784,358.93512,0.03558948,0.04074171,7112.718,6540.9907,5554.5933,4752.417,4.1050614E8,0.0,0.0,48.55
2.8483086,91578.5,0.055,0.0,0.0,256.5696,7285.393,100.0,0.0,0.0771784,0.0,6.0,0.0,0.0,451961.4,109.1545,6.0,0.0,0.0,40.29717,0.0,0.0,-267.13254,7.3018837,-218.87325,-0.06128167,0.350961,-0.02345927,256.56848,256.57935,256.5642,256.5739,610.4152,610.7316,474.3249,474.71924,70.68895,68.856186,75.50141,67.00318,14.352095,13.102663,15.834749,11.877364,0.018215608,0.017345168,0.008960438,0.008039129,-2.8378563,4.724807,6.519682,20.931871,-283.78564,472.4807,651.9682,2093.1873,0.0,0.0,0.0,2.0,0.0,3.0947468,0.026508775,-0.0022794874,83.97406,80.78922,89.566414,79.25616,23.932615,23.611847,24.211777,23.315308,-4.3417176E-4,0.003795572,-0.0021026586,0.0016862489,905.7601,0.0,80.16208,80.055176,73.651695,80.66947,77.344475,67.97085,84.65575,88.24256,80.04558,77.57378,78.042496,67.75401,-3.3081055,0.022792816,71.17615,-0.01932088,-0.0033924591,0.00985886,546.9348,358.8253,0.03548707,0.0409987,7157.3296,6261.6265,5866.506,5067.868,4.1050614E8,0.0,0.0,48.55
3.561154,91579.22,0.065,0.0,0.0,256.67902,7282.3354,100.0,0.0,0.07190559,0.0,6.0,0.0,0.0,451381.06,109.154854,6.0,0.0,0.0,40.296738,0.0,0.0,-266.42044,7.3020654,-218.8401,-0.038985573,0.36305442,-0.3372145,256.66824,256.6765,256.6829,256.70856,610.1579,610.4742,474.17014,474.56433,70.73429,68.898994,75.51852,66.92605,14.352095,13.102663,15.834749,11.877364,0.018159475,0.017223876,0.008926367,0.008022975,5.613098,12.129125,3.4070683,1.6153152,561.3098,1212.9125,340.70682,161.53152,0.0,0.0,0.0,2.0,0.0,3.094784,0.02631821,-0.0024488738,83.97489,80.79041,89.56671,79.25716,23.901781,23.615585,24.199942,23.307642,-0.004197201,-9.81803E-4,0.0015081483,0.011506423,905.448,0.0,80.16138,80.05463,73.65148,80.669014,77.343956,67.970146,84.654785,88.24126,80.04449,77.57225,78.04083,67.75272,-3.314209,0.018167496,71.20972,-0.012214532,-0.004126117,0.020236537,547.08685,358.3612,0.035451923,0.042124193,6408.929,6411.64,5589.0234,4974.2393,4.1047376E8,0.0,0.0,48.55
4.274316,91579.93,0.075,0.0,0.0,256.7976,7275.984,100.0,0.0,0.08585105,0.0,6.0,0.0,0.0,450800.72,109.155205,6.0,0.0,0.0,40.296307,0.0,0.0,-265.70804,7.3021264,-218.80692,-0.00993569,0.34699652,-0.45427412,256.78122,256.8105,256.79535,256.80664,609.90063,610.21674,474.0154,474.40945,70.63028,68.93883,75.53673,66.91037,14.352095,13.102663,15.834749,11.877364,0.018047882,0.017093085,0.008856802,0.008053806,11.159316,13.079097,6.9565353,-3.0830028,1115.9316,1307.9098,695.6535,-308.3003,0.0,0.0,0.0,2.0,0.0,3.0948205,0.02613852,-0.0025265703,83.97648,80.79067,89.56712,79.257614,23.87681,23.58402,24.191729,23.314306,-0.0063876538,0.0050043804,-8.834177E-4,0.0035122342,905.7332,0.0,80.16068,80.054085,73.651276,80.66862,77.343506,67.96954,84.65388,88.24004,80.04349,77.57102,78.039505,67.75169,-3.3187866,0.0061035156,71.240234,-7.5278146E-4,-0.0042530955,0.01819684,547.45734,358.2759,0.035525005,0.04314391,5909.0625,5710.269,5475.7554,5057.5034,4.1047376E8,0.0,0.0,48.55
4.9877877,91580.64,0.085,0.0,0.0,256.90222,7279.543,100.0,0.0,0.10040725,0.0,6.0,0.0,0.0,450220.34,109.155556,6.0,0.0,0.0,40.29587,0.0,0.0,-264.99536,7.3020144,-218.77368,-0.02530382,0.32706344,-0.4303696,256.86838,256.8969,256.89163,256.8986,609.64343,609.9594,473.8607,474.2546,70.6915,68.92562,75.35702,66.91719,14.352095,13.102663,15.834749,11.877364,0.017874105,0.016940858,0.008775216,0.00803106,17.377768,15.222775,8.15869,2.27456,1737.7769,1522.2776,815.8691,227.456,0.0,0.0,0.0,2.0,0.0,3.0948646,0.025986148,-0.002475032,83.97661,80.79145,89.569214,79.258316,23.892832,23.59241,24.205101,23.323984,-0.013164863,-0.0020663806,-0.004117392,-0.0014059806,905.46014,0.0,80.15997,80.05351,73.651054,80.66814,77.342964,67.96882,84.6528,88.23858,80.04228,77.569565,78.03791,67.75045,-3.3233643,-0.011205673,71.2677,0.011326065,-0.004145752,0.012476224,547.316,358.1442,0.035413347,0.043213874,6196.1787,5767.875,5728.922,5306.565,4.1047376E8,0.0,0.0,48.55
5.701529,91581.36,0.095,0.0,0.0,256.9914,7290.0107,100.0,0.0,0.10983315,0.0,6.0,0.0,0.0,449640.0,109.155914,6.0,0.0,0.0,40.29544,0.0,0.0,-264.28238,7.3017483,-218.74042,0.019367384,0.39675587,-0.30611387,256.97797,257.00656,256.96997,256.99393,609.3863,609.7021,473.70602,474.0998,70.72909,68.90899,75.38116,66.75477,14.352095,13.102663,15.834749,11.877364,0.017767737,0.016841013,0.008751036,0.008102319,10.63684,9.984536,2.4179509,-7.125937,1063.684,998.4537,241.7951,-712.5937,0.0,0.0,0.0,2.0,0.0,3.094903,0.025883604,-0.0023042196,83.97707,80.79278,89.56948,79.259895,23.902414,23.625692,24.20001,23.316448,-0.0052203326,0.005902058,-0.008331615,9.825907E-4,904.4007,0.0,80.15931,80.05299,73.65085,80.66771,77.34249,67.96818,84.65191,88.23737,80.04129,77.56826,78.03648,67.74935,-3.326416,-0.026607513,71.29822,0.02327294,-0.0034315519,0.0035785618,546.546,357.8547,0.03530283,0.04273276,6443.172,6657.1377,5579.6406,5161.117,4.1047376E8,0.0,0.0,48.55
6.415526,91582.07,0.105,0.0,0.0,257.08655,7298.384,100.0,0.0,0.12750417,0.0,6.0,0.0,0.0,449059.62,109.156265,6.0,0.0,0.0,40.295006,0.0,0.0,-263.56915,7.3014193,-218.70714,-0.004621086,0.25478864,-0.031805,257.09567,257.09894,257.06485,257.08847,609.12915,609.4448,473.55136,473.94498,70.560425,68.909966,75.425,66.79229,14.352095,13.102663,15.834749,11.877364,0.017768495,0.0168282,0.00877205,0.008169298,-0.07584099,1.2812835,-2.1014593,-6.6978965,-7.584099,128.12836,-210.14594,-669.7897,0.0,0.0,0.0,2.0,0.0,3.0949328,0.025883064,-0.0020620672,83.97899,80.792946,89.56978,79.260284,23.910307,23.616348,24.196423,23.318117,0.003549931,0.004819911,-0.008432661,7.522763E-4,904.1865,0.0,80.158554,80.0524,73.65061,80.66727,77.341995,67.9675,84.65092,88.23602,80.04018,77.566826,78.03492,67.74812,-3.327942,-0.032901764,71.32263,0.02562977,-0.002353549,0.0012842091,546.5335,357.653,0.03539682,0.0420185,6797.345,6525.664,5595.4365,5194.144,4.1047376E8,0.0,0.0,48.55
7.1297894,91582.78,0.115,0.0,0.0,257.1832,7308.8726,100.0,0.0,0.14328188,0.0,6.0,0.0,0.0,448479.25,109.15662,6.0,0.0,0.0,40.29457,0.0,0.0,-262.85565,7.3010964,-218.67386,-0.015104442,0.30569357,0.033876784,257.1946,257.18845,257.16968,257.18442,608.87213,609.1876,473.39673,473.79022,70.536644,68.76718,75.22753,66.809784,14.352095,13.102663,15.834749,11.877364,0.01778938,0.016855609,0.008741085,0.008125638,-2.0885258,-2.7409022,3.0964582,4.3661,-208.85258,-274.09024,309.6458,436.61,0.0,0.0,0.0,2.0,0.0,3.094963,0.025884936,-0.0018188064,83.97975,80.79454,89.57164,79.26074,23.930668,23.629627,24.197882,23.316343,0.0044425433,0.0020435483,-0.005250197,4.7805315E-4,903.63354,0.0,80.15792,80.051895,73.65041,80.666855,77.341515,67.96686,84.65001,88.23477,80.03913,77.56555,78.033516,67.74703,-3.327942,-0.032281876,71.3501,0.020859106,-0.002909207,-0.0010989169,545.8556,357.77795,0.035722885,0.041532326,7154.532,6704.2095,5594.3125,5125.59,4.1047376E8,0.0,0.0,48.55
